,astrocyte,endothelial cell,ependymal cell,fibroblast,microglial cell,mural cell,neuron,oligodendrocyte
213,-4.3668084,-4.5780087,-5.0088997,-4.433227,-4.333502,-4.3977613,-5.8718095,-4.587384
214,-4.3616037,-4.5598006,-4.9042673,-4.3684845,-4.5566607,-4.3875146,-5.561921,-4.403586
215,-3.8016384,-3.9723458,-4.0906177,-3.872114,-3.8040714,-3.7926953,-5.2728996,-3.836678
216,-3.8086843,-3.9047759,-4.366521,-3.8143756,-3.8245623,-2.0835063,-4.1274514,-3.869847
217,-4.452992,-4.327103,-4.889857,-4.4749036,-4.3064218,-4.4422517,-5.514395,-4.526717
218,-2.7623591,-4.248545,-2.526696,-4.259978,-3.4642036,-3.0133734,-2.8009753,-2.6535602
219,-4.671961,-4.155169,-4.229604,-4.6634483,-4.161552,-4.384727,-5.6305017,-4.483535
220,-4.468872,-4.6259294,-5.4845686,-4.6321273,-4.2995167,-4.7598243,-5.918469,-4.6049476
221,-3.8530748,-3.9371066,-4.42432,-4.210594,-4.0268764,-3.9015324,-5.5356355,-3.8773115
222,-4.6354637,-4.4619613,-5.57252,-4.3525176,-3.9275432,-4.3610363,-5.3202744,-4.1063266
223,-5.3082204,-4.727625,-5.152453,-4.9435587,-4.3982835,-4.8171043,-5.9404855,-4.936926
224,-3.7952824,-3.860341,-3.857435,-3.8882577,-3.7944438,-3.8180025,-4.3540797,-3.8239279
225,-4.1468024,-4.468839,-4.7900343,-4.3455462,-4.1593704,-4.403631,-5.4154534,-4.5369587
226,-4.0040097,-4.4041376,-4.636716,-4.4635262,-3.901787,-4.5942926,-5.150774,-4.116076
227,-4.4695325,-4.3063517,-3.1277766,-3.606693,-3.9116452,-3.381642,-5.5145144,-3.9317293
228,-4.706836,-4.4385586,-4.4397554,-4.362778,-3.968404,-4.3014154,-4.9868855,-4.506208
229,-3.840301,-3.9185896,-4.3373294,-3.8056529,-3.8392596,-3.9680805,-5.089798,-3.9129522
230,-3.9401453,-3.8600204,-4.1711664,-3.8733144,-3.7838948,-3.867135,-4.8826227,-3.9101593
231,-3.7940671,-4.020536,-3.857435,-3.8818362,-4.2878156,-3.8209202,-4.085058,-3.8294597
232,-3.7943258,-3.9389858,-3.9532533,-4.0114884,-3.4968457,-3.8690486,-3.982687,-3.8389246
233,-4.407016,-4.4232745,-4.581826,-4.150529,-4.5073276,-4.190782,-4.46058,-3.8906772
234,-3.8814168,-4.4813747,-3.5510538,-4.6196814,-4.0668283,-3.1943734,-3.8549232,-3.8675928
235,-3.850502,-3.9051352,-4.447714,-3.9593613,-3.922216,-3.9338253,-5.3959184,-3.8995597
236,-3.854696,-4.026689,-4.336889,-4.015277,-3.8333294,-4.026742,-5.5388985,-3.9183362
237,-3.8490276,-3.9698951,-4.335557,-4.081495,-3.8269536,-3.7926953,-5.4713235,-3.8775861
238,-4.3257537,-4.5360975,-5.423181,-4.473867,-4.089697,-4.4655347,-6.2489533,-4.538367
239,-4.459055,-4.3572254,-5.567147,-3.9493582,-4.041959,-4.228602,-5.379907,-4.2514453
240,-3.9102116,-4.384489,-3.6163814,-4.2110586,-3.956102,-3.9677656,-3.9523628,-3.8721323
241,-3.8357127,-4.1923895,-4.558187,-4.0281224,-3.8623707,-4.1904907,-4.934339,-3.919587
242,-4.0587196,-4.169629,-4.3948636,-3.9066231,-3.0231905,-3.681903,-5.2687283,-4.4096913
243,-4.9866004,-4.6596813,-5.263799,-4.863228,-4.3965945,-4.8954124,-6.2565207,-4.872488
244,-3.8292534,-3.7984638,-4.6106625,-4.3321924,-3.9653401,-3.7416575,-4.6278863,-3.9272444
245,-3.7881138,-3.808044,-3.9599152,-4.021866,-3.7914634,-3.7926953,-4.2363663,-3.8225703
246,-4.029786,-4.267766,-4.5447397,-4.413464,-3.8538225,-3.59842,-4.029125,-4.4647665
247,-4.8438573,-4.51216,-5.3803425,-4.5024624,-4.259527,-4.1678596,-5.4196644,-4.373252
248,-4.0219545,-4.0099683,-3.2451494,-3.8254106,-3.779819,-3.8713768,-4.5389543,-3.981158
249,-3.8021247,-4.121332,-4.7529807,-3.9486156,-3.8369682,-4.054641,-4.188814,-3.9483447
